Name,Year,Minutes,genre,Rating,Votes
Big Mouth,2017-,30,"Comedy, Romance",7.9,"79,301"
The Bad Guys,2022,100,"Adventure, Comedy",6.8,"37,335"
Rick and Morty,2013-,23,"Adventure, Comedy",9.1,"515,315"
Zootopia+,2022-,10,"Short, Adventure",6.8,"1,232"
Star Wars: Tales of the Jedi,2022-,15,"Short, Action",8.4,"15,691"
One Piece Film: Red,2022,115,"Action, Adventure",6.9,"6,269"
Family Guy,1999-,22,Comedy,8.2,"338,447"
Wendell & Wild,2022,105,"Adventure, Comedy",6.5,"5,759"
The Simpsons,1989-,22,Comedy,8.7,"406,290"
The Dragon Prince,2018-,26,"Action, Adventure",8.3,"23,460"
Attack on Titan,2013-2023,24,"Action, Adventure",9.0,"369,274"
Pinocchio,2022,117,"Drama, Family",8.0,539
One Piece,1999-,24,"Action, Adventure",8.9,"124,898"
Bleach: Thousand-Year Blood War,2022-,24,"Action, Adventure",9.4,"8,182"
"Lyle, Lyle, Crocodile",2022,106,"Adventure, Comedy",6.3,"2,548"
Miraculous: Tales of Ladybug & Cat Noir,2015-,20,"Action, Adventure",7.6,"11,645"
Sing 2,2021,110,"Adventure, Comedy",7.4,"67,960"
Cyberpunk: Edgerunners,2022-,24,"Action, Adventure",8.4,"41,881"
My Hero Academia,2016-,24,"Action, Adventure",8.4,"61,931"
Super Pets,2022,105,"Action, Adventure",7.3,"60,494"
BoJack Horseman,2014-2020,25,"Comedy, Drama",8.8,"156,050"
Arcane,2021-,41,"Action, Adventure",9.0,"203,013"
Bob's Burgers,2011-,22,Comedy,8.2,"81,343"
Zootropolis,2016,108,"Adventure, Comedy",8.0,"497,187"
Enchanted,2007,107,"Adventure, Comedy",7.1,"200,274"
South Park,1997-,22,Comedy,8.7,"368,653"
The Nightmare Before Christmas,1993,76,"Family, Fantasy",7.9,"339,067"
Star Wars: The Clone Wars,2008-2020,23,"Action, Adventure",8.4,"96,880"
Demon Slayer: Kimetsu no Yaiba,2019-,24,"Action, Adventure",8.7,"101,339"
"Love, Death & Robots",2019-,15,"Short, Action",8.4,"168,071"
Encanto,2021,102,"Comedy, Family",7.2,"218,233"
Avatar: The Last Airbender,2005-2008,23,"Action, Adventure",9.3,"313,079"
The Soccer Football Movie,2022,73,"Comedy, Family",3.2,355
Batman: The Animated Series,1992-1995,23,"Action, Adventure",9.0,"103,990"
Archer,2009-,22,"Action, Comedy",8.6,"155,029"
Mob Psycho 100,2016-,24,"Action, Comedy",8.6,"31,786"
Minions: The Rise of Gru,2022,87,"Adventure, Comedy",6.6,"60,842"
Bleach,2004-2012,24,"Action, Adventure",8.2,"55,915"
Coco,2017,105,"Adventure, Comedy",8.4,"503,181"
Sing,2016,108,"Comedy, Family",7.1,"170,727"
American Dad!,2005-,22,Comedy,7.4,"128,206"
Futurama,1999-2023,22,"Adventure, Comedy",8.5,"237,826"
Bluey,2018-,7,Family,9.7,"10,061"
The Lion King,1994,88,"Adventure, Drama",8.5,"1,052,286"
Invincible,2021-,50,"Action, Adventure",8.7,"135,460"
SPY×FAMILY,2022-,24,"Action, Comedy",8.6,"22,796"
